Poder de la Unión,Persona Candidata,CurriculumV Persona Candidata
Poder Legislativo,LUIS CASTAÑEDA PALACIOS,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/LUIS_CASTAÑEDA_PALACIOS_52824.pdf
"Poder Judicial, Poder Legislativo",ERIC FELIPE AVELINO JARAMILLO GONZALEZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/ERIC_FELIPE_AVELINO_JARAMILLO_GONZALEZ_53736.pdf
Poder Judicial,GUSTAVO MEDEL LEZAMA,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/GUSTAVO_MEDEL_LEZAMA_53975.pdf
Poder Ejecutivo,EDGAR ADRIAN MEZA MENDOZA,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/EDGAR_ADRIAN_MEZA_MENDOZA_53999.pdf
Poder Ejecutivo,JULIO CESAR MOLINA GARCIA,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/JULIO_CESAR_MOLINA_GARCIA_53872.pdf
Poder Ejecutivo,MIGUEL ANGEL MONROY RODRIGUEZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/MIGUEL_ANGEL_MONROY_RODRIGUEZ_54628.pdf
Poder Legislativo,ARTURO PARDAVELL SALINAS,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/ARTURO_PARDAVELL_SALINAS_54486.pdf
En Funciones,ROBERTO POSAN TORNERO,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/ROBERTO_POSAN_TORNERO_54529.pdf
Poder Legislativo,EDUARDO SILVESTRE RAMIREZ CHAVEZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/EDUARDO_SILVESTRE_RAMIREZ_CHAVEZ_55132.pdf
Poder Ejecutivo,GABRIEL SANTIAGO LOPEZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/GABRIEL_SANTIAGO_LOPEZ_54795.pdf
Poder Ejecutivo,PEDRO SERRET HERNANDEZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/PEDRO_SERRET_HERNANDEZ_55104.pdf
Poder Judicial,FRANCISCO JAVIER SILVA VIDAL,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/FRANCISCO_JAVIER_SILVA_VIDAL_55609.pdf
Poder Legislativo,JUAN CARLOS SUVERZA AMADOR,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/JUAN_CARLOS_SUVERZA_AMADOR_55291.pdf
